Flash_E (J),Phi (degrees),f (Hz),Energy (uJ),Power (uW)
14,106,10,3.1,31
14,106,12,3.416666667,41
14,106,15,3.066666667,46
14,106,18,2.833333333,51
14,106,20,2.8,56
14,106,22,2.818181818,62
14,106,25,2.84,71
14,106,28,2.75,77
14,106,30,2.7,81
14,106,33,2.666666667,88
14,106,37,2.621621622,97
14,106,39,2.564102564,100
14,106,40,2.55,102
14,106,42,2.547619048,107
14,106,45,2.533333333,114
14,106,48,2.5,120
14,106,50,2.46,123
